hotel,comarca,codigo_postal
Parador Santillana,Saja-Nansa,39330
Hotel Real,Santander,39005
Bahia,Santander,39004
Sardinero,Santander,39005
Palacio Sobrellano,Saja-Nansa,39520
Posada Potes,Liebana,39570
Villa Potes,Liebana,39570
Albergue Fuente De,Liebana,39588
Mirador Laredo,Trasmiera,39770
Playa Salve,Trasmiera,39770
Marismas Santoña,Trasmiera,39740
Casa Noja,Trasmiera,39180
Hotel Isla,Trasmiera,39195
Palacio Sobremazas,Trasmiera,39791
Posada Arnuero,Trasmiera,39193
Hostal Colindres,Asón-Agüera,39750
Casa Ramales,Asón-Agüera,39800
Hotel Ampuero,Asón-Agüera,39840
Posada Liendo,Asón-Agüera,39776
Parador Limpias,Asón-Agüera,39820
Hotel Comillas,Saja-Nansa,39520
Casa Oyambre,Saja-Nansa,39527
Posada San Vicente,Saja-Nansa,39540
Hotel Cabezon,Saja-Nansa,39500
Albergue Reinosa,Campoo-Los Valles,39200
Posada Fontibre,Campoo-Los Valles,39213
Hotel Pesquera,Campoo-Los Valles,39290
Casa Polientes,Campoo-Los Valles,39491
Hotel Torrelavega,Besaya,39300
Posada Cartes,Besaya,39460
