id,tipo,comarca,dormitorios,puntuacion,huespedes,precio,estancia_min
101,Apartamento entero,Trasmiera,4,4.5,10,133.0,2
102,Habitacion privada,Santander,1,5.0,4,147.0,1
103,Habitacion privada,Santander,1,4.0,4,44.0,3
104,Apartamento entero,Liebana,3,4.5,6,188.0,2
105,Apartamento entero,Saja-Nansa,5,4.0,12,210.0,7
106,Habitacion compartida,Trasmiera,1,3.5,2,28.0,1
107,Apartamento entero,Campoo-Los Valles,2,4.0,5,95.0,2
108,Apartamento entero,Trasmiera,4,,8,155.0,3
109,Habitacion privada,Liebana,1,4.5,3,62.0,
110,Apartamento entero,Santander,3,5.0,7,199.0,4
111,Apartamento entero,Saja-Nansa,6,4.0,14,320.0,2
112,Habitacion privada,Asón-Agüera,1,3.0,2,35.0,1
113,Apartamento entero,Trasmiera,2,4.5,4,110.0,2
114,Apartamento entero,Besaya,3,4.0,6,175.0,5
115,Habitacion privada,Santander,2,4.5,4,89.0,2
116,Apartamento entero,Liebana,4,5.0,9,168.0,1
117,Apartamento entero,Trasmiera,1,4.0,3,-1,2
118,Habitacion compartida,Campoo-Los Valles,1,,8,40.0,1
119,Apartamento entero,Saja-Nansa,3,4.5,5,142.0,3
120,Apartamento entero,Santander,2,4.0,4,250.0,2
