id_reserva,hotel,canal,noches,importe
1,Laredo,web,3,186.50
2,Laredo,ota,2,124.00
3,Potes,recepcion,5,410.00
4,Potes,web,1,89.90
5,Santander,ota,4,260.00
6,Santander,web,2,150.00
7,Noja,recepcion,7,525.00
8,Noja,web,3,198.00
9,Comillas,ota,2,140.00
10,Comillas,web,4,280.00
11,Laredo,recepcion,1,72.00
12,Potes,ota,6,390.00
13,Santander,recepcion,3,201.00
14,Noja,ota,2,132.00
15,Laredo,web,4,248.00
16,Potes,web,2,160.00
17,Santander,ota,1,78.00
18,Comillas,recepcion,5,355.00
19,Noja,web,3,210.00
20,Laredo,ota,2,130.00
